sep=;
TimeStamp;Domain;Severity;Number;Header;Reason;Cause;Action
"10/10/2019 6:36:44 PM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/10/2019 8:33:20 AM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/9/2019 10:30:11 PM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/9/2019 1:36:17 PM";"Connected Services";"Info";"178401";"Controller script of type System successfully completed";"";"";""
"10/9/2019 12:27:02 PM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/9/2019 11:35:19 AM";"Connected Services";"Info";"173040";"Controller connection established";"Controller connection via RobAPI established";"";""
"10/9/2019 11:32:33 AM";"Connected Services";"Info";"174030";"Automatic service box/CSE buffer upload";"Upload of console log and/or ELOG service box/CSE buffers";"";""
"10/9/2019 4:58:53 AM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/9/2019 3:46:48 AM";"Connected Services";"Info";"178401";"Controller script of type Prediction successfully completed";"";"";""
"10/9/2019 1:46:40 AM";"Connected Services";"Info";"174010";"Scheduled Diagnostic";"Scheduled diagnostic measurement";"";""
"10/8/2019 6:56:18 PM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/8/2019 8:52:48 AM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/8/2019 3:46:49 AM";"Connected Services";"Info";"178401";"Controller script of type Prediction successfully completed";"";"";""
"10/8/2019 1:46:41 AM";"Connected Services";"Info";"174010";"Scheduled Diagnostic";"Scheduled diagnostic measurement";"";""
"10/7/2019 10:48:44 PM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/7/2019 12:45:10 PM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/7/2019 3:46:54 AM";"Connected Services";"Info";"178401";"Controller script of type Prediction successfully completed";"";"";""
"10/7/2019 2:43:08 AM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/7/2019 1:46:46 AM";"Connected Services";"Info";"174010";"Scheduled Diagnostic";"Scheduled diagnostic measurement";"";""
"10/6/2019 4:39:06 PM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/6/2019 9:56:19 AM";"Connected Services";"Info";"178401";"Controller script of type Backup successfully completed";"";"";""
"10/6/2019 8:01:57 AM";"Connected Services";"Info";"174020";"Scheduled Backup";"Scheduled backup";"";""
"10/6/2019 7:56:18 AM";"Connected Services";"Info";"178401";"Controller script of type Backup successfully completed";"";"";""
"10/6/2019 7:56:17 AM";"Connected Services";"Info";"174020";"Scheduled Backup";"Scheduled backup";"";""
"10/6/2019 6:35:46 AM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/6/2019 6:23:10 AM";"Connected Services";"Info";"178401";"Controller script of type Set Clock successfully completed";"";"";""
"10/6/2019 4:23:10 AM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/6/2019 3:46:30 AM";"Connected Services";"Info";"178401";"Controller script of type Prediction successfully completed";"";"";""
"10/6/2019 1:46:29 AM";"Connected Services";"Info";"174010";"Scheduled Diagnostic";"Scheduled diagnostic measurement";"";""
"10/5/2019 8:31:46 PM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/5/2019 10:31:08 AM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/5/2019 3:46:56 AM";"Connected Services";"Info";"178401";"Controller script of type Prediction successfully completed";"";"";""
"10/5/2019 1:46:50 AM";"Connected Services";"Info";"174010";"Scheduled Diagnostic";"Scheduled diagnostic measurement";"";""
"10/5/2019 12:27:02 AM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/4/2019 2:24:39 PM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/4/2019 4:21:09 AM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/4/2019 3:46:49 AM";"Connected Services";"Info";"178401";"Controller script of type Prediction successfully completed";"";"";""
"10/4/2019 1:46:45 AM";"Connected Services";"Info";"174010";"Scheduled Diagnostic";"Scheduled diagnostic measurement";"";""
"10/3/2019 6:18:32 PM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/3/2019 12:09:27 PM";"Connected Services";"Error";"178461";"Error in controller script of type System";"Method RobController.GetSystemNameList failed with status ROB_E_TIMEOUT (see Application manual for RobAPI error code descriptions)";"";""
"10/3/2019 12:06:41 PM";"Connected Services";"Error";"178461";"Error in controller script of type System";"Method RobController.GetSystemNameList failed with status ROB_E_TIMEOUT (see Application manual for RobAPI error code descriptions)";"";""
"10/3/2019 10:08:17 AM";"Connected Services";"Info";"173040";"Controller connection established";"Controller connection via RobAPI established";"";""
"10/3/2019 10:05:12 AM";"Connected Services";"Info";"173040";"Controller connection established";"Controller connection via RobAPI established";"";""
"10/3/2019 8:17:03 AM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/3/2019 3:46:35 AM";"Connected Services";"Info";"178401";"Controller script of type Prediction successfully completed";"";"";""
"10/3/2019 3:44:46 AM";"Connected Services";"Info";"178401";"Controller script of type Alarm successfully completed";"";"";""
"10/3/2019 3:43:49 AM";"Motion";"Warning";"50240";"Optimal Em. Stop change";"Optimal Emergency Stop changed to Electrical brake mode because of torque limitation.";"";"Check load data."
"10/3/2019 3:43:49 AM";"Operational";"Info";"10125";"Program stopped";"The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/3/2019 3:43:49 AM";"Operational";"Info";"10010";"Motors OFF state";"The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.";"";""
"10/3/2019 3:43:48 AM";"Motion";"Error";"50052";"Joint speed error";"The speed of joint rob1_4 is wrong relative the ordered speed due to error in system or collision.";"";"Check the tune parameters, external forces on the joint and hardware.- Reduce programmed speed."
"10/3/2019 3:43:48 AM";"Motion";"Warning";"50240";"Optimal Em. Stop change";"Optimal Emergency Stop changed to Electrical brake mode because of torque limitation.";"";"Check load data."
"10/3/2019 3:43:48 AM";"Operational";"Info";"10125";"Program stopped";"The task T_GENERAL has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/3/2019 3:43:48 AM";"Operational";"Info";"10020";"Execution error state";"The program execution in task T_ROB1 has been stopped due to a spontaneous error.";"A large number of malfunctions may cause this condition. Please use the teach pendant or RobotStudio to check other event log messages for events occurring at this time!";"1. Determine what caused the stop by studying the event log. 2. Remedy the fault.3. If neccesary, move Program Pointer to main before pressing start button."
"10/3/2019 3:43:48 AM";"Operational";"Info";"10012";"Safety guard stop state";"The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop.";"Any safety device connected to the system's stop inputs have been opened. These are shown in the Circuit Diagram.";"1. Check which safety device caused the stop. 2. Close the device. 3. To resume operation, switch the system back to state Motors ON."
"10/3/2019 3:24:48 AM";"Operational";"Info";"10156";"Program restarted";"Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator is an external client.";"";""
"10/3/2019 3:24:48 AM";"Operational";"Info";"10053";"Regain ready";"The regain movement is ready.";"";""
"10/3/2019 3:24:45 AM";"Operational";"Info";"10052";"Regain start";"A regain movement has started.";"";""
"10/3/2019 3:24:45 AM";"Operational";"Info";"10021";"Execution error reset";"The program execution in task T_ROB1 has left a spontaneous error state.";"";""
"10/3/2019 3:24:44 AM";"Operational";"Info";"10011";"Motors ON state";"The system is in the Motors ON state.";"";""
"10/3/2019 3:23:24 AM";"Connected Services";"Info";"178401";"Controller script of type Alarm successfully completed";"";"";""
"10/3/2019 3:23:11 AM";"System";"Error";"20072";"Not allowed command";"The command is not allowed in Motors OFF state.";"";"1) Make sure the system is in Motors ON state."
"10/3/2019 3:23:01 AM";"System";"Error";"20072";"Not allowed command";"The command is not allowed in Motors OFF state.";"";"1) Make sure the system is in Motors ON state."
"10/3/2019 3:21:38 AM";"Motion";"Warning";"50240";"Optimal Em. Stop change";"Optimal Emergency Stop changed to Electrical brake mode because of torque limitation.";"";"Check load data."
"10/3/2019 3:21:38 AM";"Operational";"Info";"10125";"Program stopped";"The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/3/2019 3:21:38 AM";"Operational";"Info";"10010";"Motors OFF state";"The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.";"";""
"10/3/2019 3:21:37 AM";"Motion";"Error";"50052";"Joint speed error";"The speed of joint rob1_4 is wrong relative the ordered speed due to error in system or collision.";"";"Check the tune parameters, external forces on the joint and hardware.- Reduce programmed speed."
"10/3/2019 3:21:37 AM";"Motion";"Warning";"50240";"Optimal Em. Stop change";"Optimal Emergency Stop changed to Electrical brake mode because of torque limitation.";"";"Check load data."
"10/3/2019 3:21:37 AM";"Operational";"Info";"10125";"Program stopped";"The task T_GENERAL has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/3/2019 3:21:37 AM";"Operational";"Info";"10020";"Execution error state";"The program execution in task T_ROB1 has been stopped due to a spontaneous error.";"A large number of malfunctions may cause this condition. Please use the teach pendant or RobotStudio to check other event log messages for events occurring at this time!";"1. Determine what caused the stop by studying the event log. 2. Remedy the fault.3. If neccesary, move Program Pointer to main before pressing start button."
"10/3/2019 3:21:37 AM";"Operational";"Info";"10012";"Safety guard stop state";"The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop.";"Any safety device connected to the system's stop inputs have been opened. These are shown in the Circuit Diagram.";"1. Check which safety device caused the stop. 2. Close the device. 3. To resume operation, switch the system back to state Motors ON."
"10/3/2019 3:09:40 AM";"Operational";"Info";"10156";"Program restarted";"Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator is an external client.";"";""
"10/3/2019 3:09:40 AM";"Operational";"Info";"10053";"Regain ready";"The regain movement is ready.";"";""
"10/3/2019 3:09:38 AM";"Operational";"Info";"10052";"Regain start";"A regain movement has started.";"";""
"10/3/2019 3:09:37 AM";"Operational";"Info";"10025";"Collision confirmed";"The collision detection has been confirmed.";"";""
"10/3/2019 3:09:13 AM";"Operational";"Info";"10125";"Program stopped";"The task T_AXIS1 has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/3/2019 3:09:13 AM";"Operational";"Info";"10026";"Collision retraction";"The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.";"";""
"10/3/2019 3:09:08 AM";"Operational";"Info";"10125";"Program stopped";"The task T_GENERAL has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/3/2019 3:09:08 AM";"Operational";"Info";"10024";"Collision triggered";"Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.";"";""
"10/3/2019 3:09:07 AM";"Motion";"Error";"50204";"Motion supervision";"Motion supervision triggered for axis 5 on mechanical unit ROB_1.";"Triggering of the motion supervision may be caused by a collision, incorrect load definition or forces in external process.";"1) If possible, acknowledge the fault, and resume operation by pressing the Start button on the teach pendant. 2) Make sure any loads are defined and identified correctly. 3) If the mechanical unit is exposed to forces from the external processes, use RAPID command or system parameters to raise the supervision level."
"10/3/2019 3:05:15 AM";"Operational";"Info";"10156";"Program restarted";"Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator is an external client.";"";""
"10/3/2019 3:05:15 AM";"Operational";"Info";"10053";"Regain ready";"The regain movement is ready.";"";""
"10/3/2019 3:05:13 AM";"Operational";"Info";"10052";"Regain start";"A regain movement has started.";"";""
"10/3/2019 3:05:13 AM";"Operational";"Info";"10025";"Collision confirmed";"The collision detection has been confirmed.";"";""
"10/3/2019 3:04:46 AM";"Operational";"Info";"10125";"Program stopped";"The task T_AXIS1 has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/3/2019 3:04:46 AM";"Operational";"Info";"10026";"Collision retraction";"The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.";"";""
"10/3/2019 3:04:40 AM";"Motion";"Error";"50204";"Motion supervision";"Motion supervision triggered for axis 5 on mechanical unit ROB_1.";"Triggering of the motion supervision may be caused by a collision, incorrect load definition or forces in external process.";"1) If possible, acknowledge the fault, and resume operation by pressing the Start button on the teach pendant. 2) Make sure any loads are defined and identified correctly. 3) If the mechanical unit is exposed to forces from the external processes, use RAPID command or system parameters to raise the supervision level."
"10/3/2019 3:04:40 AM";"Operational";"Info";"10125";"Program stopped";"The task T_GENERAL has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/3/2019 3:04:40 AM";"Operational";"Info";"10024";"Collision triggered";"Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.";"";""
"10/3/2019 3:02:44 AM";"Operational";"Info";"10156";"Program restarted";"Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator is an external client.";"";""
"10/3/2019 3:02:44 AM";"Operational";"Info";"10053";"Regain ready";"The regain movement is ready.";"";""
"10/3/2019 3:02:42 AM";"Operational";"Info";"10052";"Regain start";"A regain movement has started.";"";""
"10/3/2019 3:02:41 AM";"Operational";"Info";"10025";"Collision confirmed";"The collision detection has been confirmed.";"";""
"10/3/2019 3:01:54 AM";"Operational";"Info";"10125";"Program stopped";"The task T_AXIS2 has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/3/2019 3:01:54 AM";"Operational";"Info";"10026";"Collision retraction";"The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.";"";""
"10/3/2019 3:01:53 AM";"Operational";"Info";"10125";"Program stopped";"The task T_AXIS1 has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/3/2019 3:01:48 AM";"Motion";"Error";"50204";"Motion supervision";"Motion supervision triggered for axis 5 on mechanical unit ROB_1.";"Triggering of the motion supervision may be caused by a collision, incorrect load definition or forces in external process.";"1) If possible, acknowledge the fault, and resume operation by pressing the Start button on the teach pendant. 2) Make sure any loads are defined and identified correctly. 3) If the mechanical unit is exposed to forces from the external processes, use RAPID command or system parameters to raise the supervision level."
"10/3/2019 3:01:48 AM";"Operational";"Info";"10125";"Program stopped";"The task T_GENERAL has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/3/2019 3:01:48 AM";"Operational";"Info";"10024";"Collision triggered";"Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.";"";""
"10/3/2019 2:46:21 AM";"Operational";"Info";"10156";"Program restarted";"Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator is an external client.";"";""
"10/3/2019 2:46:21 AM";"Operational";"Info";"10053";"Regain ready";"The regain movement is ready.";"";""
"10/3/2019 2:46:18 AM";"Operational";"Info";"10052";"Regain start";"A regain movement has started.";"";""
"10/3/2019 2:46:18 AM";"Operational";"Info";"10025";"Collision confirmed";"The collision detection has been confirmed.";"";""
"10/3/2019 2:45:34 AM";"Operational";"Info";"10125";"Program stopped";"The task T_AXIS1 has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/3/2019 2:45:34 AM";"Operational";"Info";"10026";"Collision retraction";"The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.";"";""
