sep=;
TimeStamp;Domain;Severity;Number;Header;Reason;Cause;Action
"10/10/2019 2:27:44 PM";"Connected Services";"Warning";"174035";"Repeating alarm temporarily ignored";"Alarm 20306 has occured more than 5 times during the last 1 hour(s) and will be ignored for the next 24 hours (until 10/11/2019 12:26:31 PM or the service box/CSE is restarted)";"";""
"10/10/2019 2:22:45 PM";"Connected Services";"Info";"178401";"Controller script of type Alarm successfully completed";"";"";""
"10/10/2019 2:19:13 PM";"System";"Warning";"20306";"Fan malfunction";"Cabinet cool fan 2 malfunction.";"";"Check1. Fan hardware.2. Fan cabling.3. Panel unit supervision."
"10/10/2019 2:19:13 PM";"System";"Warning";"20305";"Fan malfunction";"Cabinet cool fan 1 malfunction.";"";"Check1. Fan hardware.2. Fan cabling.3. Panel unit supervision."
"10/10/2019 2:19:13 PM";"System";"Warning";"20303";"Fan malfunction";"Drive system cool fan 3 malfunction.";"";"Check1. Fan hardware.2. Fan cabling.3. Panel unit supervision."
"10/10/2019 2:19:09 PM";"Connected Services";"Info";"178401";"Controller script of type Alarm successfully completed";"";"";""
"10/10/2019 2:18:15 PM";"Operational";"Info";"10053";"Regain ready";"The regain movement is ready";"";""
"10/10/2019 2:18:15 PM";"Operational";"Info";"10052";"Regain start";"A regain movement has started";"";""
"10/10/2019 2:18:15 PM";"Operational";"Info";"10008";"Program restarted";"The task MAIN has restarted to execute. The originator is an extern client.";"";""
"10/10/2019 2:18:14 PM";"Operational";"Info";"10011";"Motors on state";"";"";""
"10/10/2019 2:17:46 PM";"Operational";"Info";"10005";"Program stopped";"The task MAIN has stopped. The reason is that an external or internal stop has occurred.";"";""
"10/10/2019 2:17:45 PM";"Operational";"Info";"10010";"Motors off state";"";"";""
"10/10/2019 2:15:39 PM";"System";"Warning";"20306";"Fan malfunction";"Cabinet cool fan 2 malfunction.";"";"Check1. Fan hardware.2. Fan cabling.3. Panel unit supervision."
