sep=;
TimeStamp;Domain;Severity;Number;Header;Reason;Cause;Action
"10/7/2019 6:42:42 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 6:42:39 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 6:25:12 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 6:25:10 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 6:04:25 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 6:04:23 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 5:49:46 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 5:49:43 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 5:45:26 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 5:45:23 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 5:23:08 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 5:23:06 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 5:01:37 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 5:01:35 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 4:42:11 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 4:42:07 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 4:17:17 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 4:17:13 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 3:49:49 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 3:49:47 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 3:28:44 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 3:28:42 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 3:10:21 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 3:10:17 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 2:49:30 AM";"Connected Services";"Info";"176010";"Scheduled Dynamic Info";"Service box/CSE Scheduled Dynamic Information";"";""
"10/7/2019 2:33:12 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 2:33:10 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 2:20:36 AM";"Connected Services";"Info";"174010";"Scheduled Diagnostic";"Scheduled diagnostic measurement";"";""
"10/7/2019 2:20:03 AM";"Connected Services";"Error";"178416";"Error in controller script of type Prediction";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 2:14:33 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 2:14:31 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 1:55:30 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
"10/7/2019 1:55:28 AM";"Program";"Unknown";"40661";"Search Error";"Task: .The signal  for the SearchX instruction is already set to the specified value (high or low) at the start of searching, or the I/O-device for the signal isn't up and running for the occasion. Before performing next search, make sure that TCP is moved back to the start position of the search path.Program ref: .";"";"Recovery: ."
"10/7/2019 1:34:27 AM";"Connected Services";"Error";"178416";"Error in controller script of type Alarm";"Controller user "Default User" does not have enough grants for FTP";"";"1) Configure the grants of the user "Default User" to include at least FTP Read and FTP Write, or select another user"
