TimeStamp;Domain;Severity;Number;Header;Reason;Cause;Action
10.07.2019 4:24;Connected Services;Info;178401;Controller script of type Prediction successfully completed;;;
10.07.2019 2:24;Connected Services;Info;174010;Scheduled Diagnostic;Scheduled diagnostic measurement;;
10.06.2019 10:53;Connected Services;Info;178401;Controller script of type Set Clock successfully completed;;;
10.06.2019 8:53;Connected Services;Info;174214;Clock synchronization request;Scheduled clock synchronization request;;
10.06.2019 4:30;Connected Services;Info;178401;Controller script of type Backup successfully completed;;;
10.06.2019 4:24;Connected Services;Info;178401;Controller script of type Prediction successfully completed;;;
10.06.2019 2:30;Connected Services;Info;174020;Scheduled Backup;Scheduled backup;;
10.06.2019 2:30;Connected Services;Info;174020;Scheduled Backup;Scheduled backup;;
10.06.2019 2:30;Connected Services;Info;178401;Controller script of type Backup successfully completed;;;
10.06.2019 2:24;Connected Services;Info;174010;Scheduled Diagnostic;Scheduled diagnostic measurement;;
10.05.2019 4:24;Connected Services;Info;178401;Controller script of type Prediction successfully completed;;;
10.05.2019 2:24;Connected Services;Info;174010;Scheduled Diagnostic;Scheduled diagnostic measurement;;
10.04.2019 4:24;Connected Services;Info;178401;Controller script of type Prediction successfully completed;;;
10.04.2019 2:24;Connected Services;Info;174010;Scheduled Diagnostic;Scheduled diagnostic measurement;;
10.03.2019 4:24;Connected Services;Info;178401;Controller script of type Prediction successfully completed;;;
10.03.2019 2:24;Connected Services;Info;174010;Scheduled Diagnostic;Scheduled diagnostic measurement;;
10.02.2019 4:24;Connected Services;Info;178401;Controller script of type Prediction successfully completed;;;
10.02.2019 2:24;Connected Services;Info;174010;Scheduled Diagnostic;Scheduled diagnostic measurement;;
10.01.2019 4:24;Connected Services;Warning;176080;Missing scheduled prediction measurement;The prediction measurement scheduled at 10/1/2019 4:24:00 AM is missing.;1) The service box/CSE might have been powered off or restarting at the scheduled time.2) The service box/CSE might have suffered from communication problems.3) The communication might have been disabled.4) The server might have been unable to respond to the service box/CSE.;1) Check service box power.2) Check service box/CSE communication.3) Check the Communication Enabled setting for the service box/CSE.4) If the problem occurs repeatedly and no explanation can be found, contact ABB Connected Services support.
9/30/2019 4:24:16 AM;Connected Services;Info;178401;Controller script of type Prediction successfully completed;;;
9/30/2019 2:24:17 AM;Connected Services;Info;174010;Scheduled Diagnostic;Scheduled diagnostic measurement;;
9/29/2019 4:24:35 AM;Connected Services;Info;178401;Controller script of type Prediction successfully completed;;;
9/29/2019 2:30:05 AM;Connected Services;Info;174020;Scheduled Backup;Scheduled backup;;
9/29/2019 2:30:04 AM;Connected Services;Warning;178483;Error in controller script of type Backup;The backup is not configured to run in Cycle On state;1) The configuration explicitly states that backup is not allowed in Cycle On.2) The RobotWare system includes Paint, Pick or Conveyor tracking. For such systems backup is never allowed in Cycle On.;1) Make sure that the backup is scheduled to run when the controller is not in Cycle On state.2) Make sure that the controller is not in Cycle On state before requesting a manual backup.3) Consider changing the configuration to allow the backup to run in Cycle On state.
9/29/2019 2:30:04 AM;Connected Services;Warning;178402;Controller script of type Backup completed with warnings;See previous warning messages in Summary Event Log for details;;
9/29/2019 2:24:21 AM;Connected Services;Info;174010;Scheduled Diagnostic;Scheduled diagnostic measurement;;
9/28/2019 4:24:43 AM;Connected Services;Info;178401;Controller script of type Prediction successfully completed;;;
9/28/2019 2:24:32 AM;Connected Services;Info;174010;Scheduled Diagnostic;Scheduled diagnostic measurement;;
9/27/2019 4:24:30 AM;Connected Services;Info;178401;Controller script of type Prediction successfully completed;;;
9/27/2019 2:24:21 AM;Connected Services;Info;174010;Scheduled Diagnostic;Scheduled diagnostic measurement;;
9/26/2019 6:42:11 AM;Connected Services;Info;178401;Controller script of type Alarm successfully completed;;;
9/26/2019 6:41:37 AM;Operational;Info;10026;Collision retraction;The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.;;
9/26/2019 6:41:36 AM;Operational;Info;10125;Program stopped;The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.;;
9/26/2019 6:41:35 AM;Motion;Error;50204;Motion supervision;Motion supervision triggered for axis 5 on mechanical unit ROB_1.;Triggering of the motion supervision may be caused by a collision, incorrect load definition or forces in external process.;1) If execution is stopped, acknowledge the fault, and resume operation by pressing the Start button on the FlexPendant. 2) Make sure any loads are defined and identified correctly. 3) If the mechanical unit is exposed to forces from the external processes, use RAPID command or system parameters to raise the supervision level.4) Consider to add an error handler for Motion Error Handling.
9/26/2019 6:41:35 AM;Operational;Info;10024;Collision triggered;Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.;;
9/26/2019 6:41:29 AM;Motion;Warning;50024;Corner path failure;Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /M8/Path_M8/MoveL/96.;; Reduce the number of instructions between consecutive move instructions.- Reduce speed, use wider spaced points, use /CONC option.- Increase ipol_prefetch_time.- If the stop comes at the first movement after a finepoint, increase the configuration parameter 'Interpolation Buffer Startup Adjust' in topic Motion and type Motion Planner.
9/26/2019 6:41:24 AM;Motion;Warning;50024;Corner path failure;Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /M8/Path_M8/MoveL/91.;;Reduce the number of instructions between consecutive move instructions.- Reduce speed, use wider spaced points, use /CONC option.- Increase ipol_prefetch_time.- If the stop comes at the first movement after a finepoint, increase the configuration parameter 'Interpolation Buffer Startup Adjust' in topic Motion and type Motion Planner.
