sep=;
TimeStamp;Domain;Severity;Number;Header;Reason;Cause;Action
"10/7/2019 3:14:21 AM";"Connected Services";"Info";"174020";"Scheduled Backup";"Scheduled backup";"";""
"10/7/2019 3:14:19 AM";"Connected Services";"Error";"178469";"Error in controller script of type Backup";"No connection to controller";"";""
"10/7/2019 2:57:20 AM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/7/2019 2:57:18 AM";"Connected Services";"Error";"178469";"Error in controller script of type Set Clock";"No connection to controller";"";""
"10/7/2019 2:12:32 AM";"Connected Services";"Info";"174010";"Scheduled Diagnostic";"Scheduled diagnostic measurement";"";""
"10/7/2019 2:12:30 AM";"Connected Services";"Error";"178469";"Error in controller script of type Prediction";"No connection to controller";"";""
"10/6/2019 8:57:17 PM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/6/2019 8:57:16 PM";"Connected Services";"Error";"178469";"Error in controller script of type Set Clock";"No connection to controller";"";""
"10/6/2019 2:57:17 PM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/6/2019 2:57:16 PM";"Connected Services";"Error";"178469";"Error in controller script of type Set Clock";"No connection to controller";"";""
"10/6/2019 8:57:21 AM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/6/2019 8:57:20 AM";"Connected Services";"Error";"178469";"Error in controller script of type Set Clock";"No connection to controller";"";""
"10/6/2019 2:57:21 AM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/6/2019 2:57:19 AM";"Connected Services";"Error";"178469";"Error in controller script of type Set Clock";"No connection to controller";"";""
"10/6/2019 2:12:33 AM";"Connected Services";"Info";"174010";"Scheduled Diagnostic";"Scheduled diagnostic measurement";"";""
"10/6/2019 2:12:31 AM";"Connected Services";"Error";"178469";"Error in controller script of type Prediction";"No connection to controller";"";""
"10/5/2019 8:57:18 PM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/5/2019 8:57:18 PM";"Connected Services";"Error";"178469";"Error in controller script of type Set Clock";"No connection to controller";"";""
"10/5/2019 2:57:19 PM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/5/2019 2:57:18 PM";"Connected Services";"Error";"178469";"Error in controller script of type Set Clock";"No connection to controller";"";""
"10/5/2019 8:57:23 AM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/5/2019 8:57:22 AM";"Connected Services";"Error";"178469";"Error in controller script of type Set Clock";"No connection to controller";"";""
"10/5/2019 2:57:23 AM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/5/2019 2:57:21 AM";"Connected Services";"Error";"178469";"Error in controller script of type Set Clock";"No connection to controller";"";""
"10/5/2019 2:12:45 AM";"Connected Services";"Info";"174010";"Scheduled Diagnostic";"Scheduled diagnostic measurement";"";""
"10/5/2019 2:12:43 AM";"Connected Services";"Error";"178469";"Error in controller script of type Prediction";"No connection to controller";"";""
"10/4/2019 8:57:20 PM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/4/2019 8:57:20 PM";"Connected Services";"Error";"178469";"Error in controller script of type Set Clock";"No connection to controller";"";""
"10/4/2019 2:57:21 PM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/4/2019 2:57:20 PM";"Connected Services";"Error";"178469";"Error in controller script of type Set Clock";"No connection to controller";"";""
"10/4/2019 9:09:44 AM";"Connected Services";"Error";"178461";"Error in controller script of type System";"Method RobData.Get DEVICES/PROPERTY_COME_BOARD_HWID failed with status SYS_CTRL_E_UNRESOLVED_URL (see Application manual for RobAPI error code descriptions)";"";""
"10/4/2019 9:01:12 AM";"Connected Services";"Info";"178401";"Controller script of type Alarm successfully completed";"";"";""
"10/4/2019 9:00:57 AM";"Motion";"Error";"50056";"Joint collision";"Actual torque on joint rob1_2 is higher than ordered while at low or zero speed. Might be caused by jam error (the arm has got stuck) or hardware error.";"";"Check that arm is not stuck.Check hardware.Check for other hardware event logs."
"10/4/2019 8:57:16 AM";"Connected Services";"Info";"174214";"Clock synchronization request";"Scheduled clock synchronization request";"";""
"10/4/2019 8:57:15 AM";"Connected Services";"Error";"178469";"Error in controller script of type Set Clock";"No connection to controller";"";""
"10/4/2019 7:52:55 AM";"Connected Services";"Info";"178401";"Controller script of type Alarm successfully completed";"";"";""
"10/4/2019 7:52:42 AM";"Motion";"Error";"50056";"Joint collision";"Actual torque on joint rob1_2 is higher than ordered while at low or zero speed. Might be caused by jam error (the arm has got stuck) or hardware error.";"";"Check that arm is not stuck.Check hardware.Check for other hardware event logs."
"10/4/2019 7:09:48 AM";"Connected Services";"Info";"173040";"Controller connection established";"Controller connection via RobAPI established";"";""
